tissue,tissue_main
Adipose_Subcutaneous,Adipose_Tissue
Adipose_Visceral_Omentum,Adipose_Tissue
Adrenal_Gland,Adrenal_Gland
Artery_Aorta,Blood_Vessel
Artery_Coronary,Blood_Vessel
Artery_Tibial,Blood_Vessel
Brain_Amygdala,Brain
Brain_Anterior_cingulate_cortex_BA24,Brain
Brain_Caudate_basal_ganglia,Brain
Brain_Cerebellar_Hemisphere,Brain
Brain_Cerebellum,Brain
Brain_Cortex,Brain
Brain_Frontal_Cortex_BA9,Brain
Brain_Hippocampus,Brain
Brain_Hypothalamus,Brain
Brain_Nucleus_accumbens_basal_ganglia,Brain
Brain_Putamen_basal_ganglia,Brain
Brain_Spinal_cord_cervical_c_1,Brain
Brain_Substantia_nigra,Brain
Breast_Mammary_Tissue,Breast
Cells_EBV_transformed_lymphocytes,Blood
Cells_Cultured_fibroblasts,Skin
Colon_Sigmoid,Colon
Colon_Transverse,Colon
Esophagus_Gastroesophageal_Junction,Esophagus
Esophagus_Mucosa,Esophagus
Esophagus_Muscularis,Esophagus
Heart_Atrial_Appendage,Heart
Heart_Left_Ventricle,Heart
Kidney_Cortex,
Liver,Liver
Lung,Lung
Minor_Salivary_Gland,Salivary_Gland
Muscle_Skeletal,Muscle
Nerve_Tibial,Nerve
Ovary,Ovary
Pancreas,Pancreas
Pituitary,Pituitary
Prostate,Prostate
Skin_Not_Sun_Exposed_Suprapubic,Skin
Skin_Sun_Exposed_Lower_leg,Skin
Small_Intestine_Terminal_Ileum,Small_Intestine
Spleen,Spleen
Stomach,Stomach
Testis,Testis
Thyroid,Thyroid
Uterus,Uterus
Vagina,Vagina
Whole_Blood,Blood
Prokisch_Fibroblasts,Skin
